scenario_id,sample_id,area_width,area_height,sink_x,sink_y,n_relays,relay_0_x,relay_0_y,relay_1_x,relay_1_y,relay_2_x,relay_2_y,relay_interface,relay_frequency,relay_bandwidth,relay_bitrate,relay_power,relay_traffic,node_interface,node_frequency,node_bandwidth,node_bitrate,node_power,node_traffic,propagation,packet_length,interval,network_seed,simulated_range,fitness
6,9,564.579,537.492,427.661,392.186,3,328.268,435.113,296.887,430.628,248.098,463.186,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.402116
7,0,526.834,531.48,455.68,137.836,3,518.616,264.922,331.195,190.513,302.656,269.174,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.455224
7,1,526.834,531.48,455.68,137.836,3,465.795,267.912,409.601,206.631,317.72,319.082,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.492537
7,2,526.834,531.48,455.68,137.836,3,526.834,228.418,360.436,125.058,308.003,206,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.447761
7,3,526.834,531.48,455.68,137.836,3,459.831,229.774,399.029,223.748,342.056,301.012,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.435323
7,4,526.834,531.48,455.68,137.836,3,475.101,276.73,289.467,219.767,346.413,256.113,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.467662
7,5,526.834,531.48,455.68,137.836,3,442.278,216.875,400.98,262.824,324.316,335.436,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.460199
7,6,526.834,531.48,455.68,137.836,3,526.834,344.676,392.392,269.133,368.147,294.413,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.402985
7,7,526.834,531.48,455.68,137.836,3,514.377,252.693,336.308,167.999,247.209,254.37,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.514925
7,8,526.834,531.48,455.68,137.836,3,513.207,212.595,346.269,215.354,263.315,245.857,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.485075
7,9,526.834,531.48,455.68,137.836,3,526.834,270.191,324.002,211.889,373.708,322.658,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,32,5,42,155,0.445274
8,0,575.238,536.496,353.421,70.9617,3,267.736,169.647,300.458,183.267,247.062,180.895,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.338164
8,1,575.238,536.496,353.421,70.9617,3,286.287,93.5399,294.162,149.905,172.541,160.689,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.34058
8,2,575.238,536.496,353.421,70.9617,3,305.492,195.057,331.931,228.906,283.167,163.82,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.294686
8,3,575.238,536.496,353.421,70.9617,3,261.769,133.621,253.868,202.154,285.614,187.823,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.34058
8,4,575.238,536.496,353.421,70.9617,3,343.183,188.845,228.362,159.002,281.227,214.062,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.369565
8,5,575.238,536.496,353.421,70.9617,3,271.372,235.43,243.723,176.094,192.315,242.18,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.352657
8,6,575.238,536.496,353.421,70.9617,3,335.657,183.775,347.169,137.103,207.997,239.556,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.345411
8,7,575.238,536.496,353.421,70.9617,3,287.859,249.519,345.851,127.275,207.98,134.264,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.371981
8,8,575.238,536.496,353.421,70.9617,3,223.197,238.771,359.706,109.562,318.127,211.574,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.001,0,0,32,5,42,155,0.342995
