pair,seed,relays,width,height,pso_total_evaluations,naive_total_evaluations,common_budget,pso_final_fitness,naive_final_fitness,pso_best_common_budget,naive_best_common_budget,delta_common_budget,pso_final_best_first_eval,naive_final_best_first_eval,pso_final_time,naive_final_time
62,37283284,8,400.0,400.0,420,400,400,0.996667,0.98,0.996667,0.98,0.016666999999999987,374,107,808.393,756.394
63,37283284,8,500.0,500.0,420,400,400,0.858333,0.863889,0.858333,0.863889,-0.005556000000000005,321,384,941.906,933.032
64,37283284,8,600.0,600.0,420,400,400,0.654762,0.661905,0.654762,0.661905,-0.0071430000000000105,281,152,966.198,1066.3
65,37283284,8,700.0,700.0,420,400,400,0.6,0.614583,0.6,0.614583,-0.014583000000000013,245,261,1073.97,1138.17
66,1555680,8,350.0,350.0,420,400,400,1.0,0.995833,1.0,0.995833,0.004167000000000032,370,89,563.332,537.754
67,1555680,8,400.0,400.0,420,400,400,0.983333,0.983333,0.983333,0.983333,0.0,8,8,760.026,738.434
68,1555680,8,500.0,500.0,420,400,400,0.838889,0.852778,0.838889,0.852778,-0.01388900000000004,395,329,944.513,933.376
69,1555680,8,600.0,600.0,420,400,400,0.711905,0.640476,0.711905,0.640476,0.07142899999999996,369,204,930.416,1055.46
70,1555680,8,700.0,700.0,420,400,400,0.570833,0.602083,0.570833,0.602083,-0.03125,326,253,1057.78,1149.89
71,60466,8,350.0,350.0,420,400,400,1.0,0.995833,1.0,0.995833,0.004167000000000032,192,127,547.394,529.155
72,60466,8,400.0,400.0,420,400,400,0.98,0.98,0.98,0.98,0.0,372,223,740.469,743.135
73,60466,8,500.0,500.0,420,400,400,0.844444,0.85,0.844444,0.85,-0.005556000000000005,170,300,851.49,922.002
74,60466,8,600.0,600.0,420,400,400,0.640476,0.661905,0.633333,0.661905,-0.02857199999999993,412,315,932.344,1032.22
75,60466,8,700.0,700.0,420,400,400,0.564583,0.560417,0.564583,0.560417,0.004165999999999892,248,171,1001.55,1145.85
76,37283284,2,350.0,350.0,420,400,400,0.791667,0.775,0.791667,0.775,0.016666999999999987,133,220,417.414,351.179
77,37283284,2,400.0,400.0,420,400,400,0.663333,0.62,0.663333,0.62,0.043332999999999955,356,366,499.198,434.097
78,37283284,2,500.0,500.0,420,400,400,0.475,0.444444,0.475,0.444444,0.030555999999999972,306,228,572.122,470.551
79,37283284,2,600.0,600.0,420,400,400,0.32619,0.316667,0.32619,0.316667,0.009523000000000004,340,381,628.923,533.104
80,37283284,2,700.0,700.0,420,400,400,0.285417,0.264583,0.285417,0.264583,0.020833999999999964,194,13,713.609,623.417
81,1555680,2,350.0,350.0,420,400,400,0.816667,0.758333,0.816667,0.758333,0.058334,264,333,423.503,347.081
82,1555680,2,400.0,400.0,420,400,400,0.71,0.676667,0.71,0.676667,0.033332999999999946,176,228,517.793,423.444
