scenario_id,sample_id,area_width,area_height,sink_x,sink_y,n_relays,relay_0_x,relay_0_y,relay_1_x,relay_1_y,relay_2_x,relay_2_y,relay_3_x,relay_3_y,relay_interface,relay_frequency,relay_bandwidth,relay_bitrate,relay_power,relay_traffic,node_interface,node_frequency,node_bandwidth,node_bitrate,node_power,node_traffic,propagation,packet_length,interval,network_seed,simulated_range,fitness
3,2,350,350,0,0,4,201.538,285.759,132.593,63.4114,184.947,269.021,116.322,164.451,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.866667
3,3,350,350,0,0,4,213.967,319.592,100.623,92.3885,115.453,291.993,128.684,168.712,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.866667
3,4,350,350,0,0,4,338.62,225.047,85.7536,61.8454,214.324,223.879,157.717,115.325,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.883333
3,5,350,350,0,0,4,206.331,277.724,42.1219,118.628,122.5,204.634,218.069,130.151,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.958333
3,6,350,350,0,0,4,261.488,267.183,123.834,17.738,156.593,192.289,142.604,52.633,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.891667
3,7,350,350,0,0,4,276.475,221.439,59.397,105.785,155.589,282.398,133.922,140.85,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.933333
3,8,350,350,0,0,4,318.805,225.912,12.6429,76.4922,140.248,145.408,268.988,122.035,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.904167
3,9,350,350,0,0,4,220.959,268.524,45.846,22.6838,116,244.652,149.004,123.409,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.858333
3,10,350,350,0,0,4,232.741,234.85,56.3589,76.7371,121.334,211.882,163.388,74.1684,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.854167
3,11,350,350,0,0,4,322.156,285.498,145.836,11.0485,169.493,142.428,268.858,169.437,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.85
3,12,350,350,0,0,4,228.927,304.008,57.8795,117.518,148.593,162.752,196.95,174.69,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.866667
3,13,350,350,0,0,4,213.2,350,98.7832,70.5616,190.879,259.275,182.466,158.611,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.883333
3,14,350,350,0,0,4,209.655,225.62,11.7561,116.917,129.086,178.042,179.951,46.6491,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.891667
3,15,350,350,0,0,4,263.989,322.558,42.6904,128.547,111.268,174.477,239.052,183.784,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.9
3,16,350,350,0,0,4,227.291,263.244,144.533,25.1734,113.411,204.055,131.859,131.373,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.925
3,17,350,350,0,0,4,273.921,264.85,37.3126,63.3297,253.417,170.981,118.206,159.251,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.920833
3,18,350,350,0,0,4,259.848,241.878,112.444,88.0157,249.567,208.013,187.005,90.1421,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.891667
3,19,350,350,0,0,4,261.568,228.703,88.9129,94.6494,191.519,203.845,142.725,134.062,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.904167
4,0,350,350,0,0,4,59.1609,56.8053,287.921,265.26,152.378,123.414,213.22,180.596,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.891667
4,1,350,350,0,0,4,8.32293,0,251.532,192.403,128.734,61.744,200.144,150.625,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.8
4,2,350,350,0,0,4,29.6259,46.1975,295.913,186.788,79.4537,124.578,165.783,201.745,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.8625
4,3,350,350,0,0,4,52.8618,93.8693,283.299,195.705,156.278,157.837,217.552,166.831,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.904167
4,4,350,350,0,0,4,20.0917,121.605,263.716,244.074,151.489,59.2307,259.459,147.585,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.879167
4,5,350,350,0,0,4,127.402,91.0677,225.681,276.295,89.7213,108.922,182.966,216.676,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.845833
4,6,350,350,0,0,4,0,23.4527,305.986,234.961,73.6915,137.383,196.989,212.58,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.829167
4,7,350,350,0,0,4,97.3249,42.5297,208.768,273.856,159.95,153.331,219.626,231.399,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.908333
4,8,350,350,0,0,4,38.5661,112.656,247.069,339.356,133.942,184.289,154.926,234.879,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.8
4,9,350,350,0,0,4,25.4372,52.2828,285.556,286.221,145.34,131.94,230.047,235.041,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.8875
4,10,350,350,0,0,4,2.40459,124.932,211.029,185.341,83.8199,92.0205,215.797,156.021,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.841667
4,11,350,350,0,0,4,90.5678,36.3501,280.081,275.836,110.255,110.373,170.579,185.723,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.870833
4,12,350,350,0,0,4,109.202,95.4946,250.037,201.862,207.163,69.5165,250.621,201.691,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.833333
4,13,350,350,0,0,4,58.0201,136.155,243.735,322.556,123.46,149.662,175.032,250.454,0,2.45e+09,2.8e+06,250000,0.00224,0,0,2.45e+09,2.8e+06,250000,0.00224,0,0,50,5,42,150,0.854167
