relays,width,height,nodes,network_config,evaluations,pairs,mean_pso_pdr,mean_naive_pdr,mean_delta_pdr,median_delta_pdr,pso_wins,ties,naive_wins,naive_failed_pairs
3,500.0,500.0,,1,400,12,0.6173611666666666,0.5784723333333334,0.03888883333333332,0.03472249999999999,12,0,0,0
3,500.0,500.0,,2,20,12,0.3958331666666667,0.3958331666666667,0.0,0.0,0,12,0,0
3,500.0,500.0,,2,40,12,0.4055555,0.4136573333333333,-0.008101833333333336,0.0,3,4,5,0
3,500.0,500.0,,2,60,12,0.4131945,0.4136573333333333,-0.00046283333333333826,0.0,4,4,4,0
3,500.0,500.0,,2,80,12,0.41944441666666665,0.41550916666666665,0.003935250000000001,0.0027780000000000027,7,3,2,0
3,500.0,500.0,,2,100,12,0.42523133333333335,0.4199073333333333,0.005324000000000009,0.01111100000000001,8,2,2,0
3,500.0,500.0,,2,120,12,0.42847216666666665,0.42037025,0.008101916666666672,0.011111499999999996,8,2,2,0
3,500.0,500.0,,2,140,12,0.43611116666666666,0.42037025,0.01574091666666667,0.0152785,9,1,2,0
3,500.0,500.0,,2,160,12,0.4430555,0.4212961666666667,0.021759333333333325,0.026388999999999968,9,0,3,0
3,500.0,500.0,,2,180,12,0.44814808333333334,0.42175908333333334,0.026388999999999992,0.03194449999999999,9,0,3,0
3,500.0,500.0,,2,200,12,0.455324,0.42453683333333336,0.030787166666666657,0.031944500000000015,11,0,1,0
3,500.0,500.0,,2,220,12,0.45810175,0.42569425,0.03240749999999999,0.031944500000000015,12,0,0,0
3,500.0,500.0,,2,240,12,0.4625,0.4270831666666667,0.03541683333333333,0.036111000000000004,12,0,0,0
3,500.0,500.0,,2,260,12,0.46435183333333335,0.4270831666666667,0.037268666666666665,0.036111000000000004,12,0,0,0
3,500.0,500.0,,2,280,12,0.4657406666666667,0.42893508333333336,0.03680558333333333,0.040277499999999994,11,0,1,0
3,500.0,500.0,,2,300,12,0.4664351666666667,0.430324,0.036111166666666666,0.04027800000000001,11,0,1,0
3,500.0,500.0,,2,320,12,0.4694445,0.4307869166666667,0.038657583333333335,0.044444999999999985,11,0,1,0
3,500.0,500.0,,2,340,12,0.4699074166666667,0.4317128333333333,0.03819458333333334,0.044444999999999985,11,0,1,0
3,500.0,500.0,,2,360,12,0.47430558333333334,0.4317128333333333,0.04259275,0.04722299999999999,11,0,1,0
3,500.0,500.0,,2,380,12,0.47430558333333334,0.4317128333333333,0.04259275,0.04722299999999999,11,0,1,0
3,500.0,500.0,,2,400,12,0.47430558333333334,0.43263875,0.041666833333333334,0.04444500000000001,11,0,1,0
4,500.0,500.0,,1,20,12,0.6136574166666666,0.6136574166666666,0.0,0.0,0,12,0,0
4,500.0,500.0,,1,40,12,0.6224536666666667,0.6469908333333333,-0.024537166666666665,-0.0013889999999999736,1,5,6,0
4,500.0,500.0,,1,60,12,0.631713,0.6525464166666667,-0.02083341666666667,-0.004166499999999962,0,5,7,0
4,500.0,500.0,,1,80,12,0.6391203333333333,0.6525464166666667,-0.01342608333333333,-0.004166499999999962,1,4,7,0
4,500.0,500.0,,1,100,12,0.6548610833333334,0.65462975,0.0002313333333333334,-0.0027774999999999883,5,1,6,0
4,500.0,500.0,,1,120,12,0.6585649166666667,0.6587964166666667,-0.00023150000000000484,-0.0027774999999999883,5,1,6,0
4,500.0,500.0,,1,140,12,0.6650463333333333,0.6587964166666667,0.006249916666666661,-0.001389000000000029,5,1,6,0
4,500.0,500.0,,1,160,12,0.67245375,0.6666668333333333,0.005786916666666651,0.0,5,2,5,0
4,500.0,500.0,,1,180,12,0.688889,0.6666668333333333,0.022222166666666654,0.02361100000000005,9,1,2,0
4,500.0,500.0,,1,200,12,0.6925926666666666,0.6768520833333334,0.015740583333333325,0.01527800000000007,9,1,2,0
4,500.0,500.0,,1,220,12,0.6965278333333333,0.6768520833333334,0.01967574999999998,0.02083299999999999,9,1,2,0
4,500.0,500.0,,1,240,12,0.69722225,0.6810186666666667,0.016203583333333316,0.02083299999999999,8,1,3,0
4,500.0,500.0,,1,260,12,0.6986111666666667,0.6810186666666667,0.017592499999999983,0.022221999999999964,8,1,3,0
4,500.0,500.0,,1,280,12,0.7002315833333334,0.6810186666666667,0.019212916666666652,0.022221999999999964,8,1,3,0
4,500.0,500.0,,1,300,12,0.7064815833333333,0.6810186666666667,0.02546291666666665,0.02222249999999998,9,1,2,0
4,500.0,500.0,,1,320,12,0.7064815833333333,0.6810186666666667,0.02546291666666665,0.02222249999999998,9,1,2,0
4,500.0,500.0,,1,340,12,0.707639,0.6810186666666667,0.026620333333333312,0.02222249999999998,9,1,2,0
4,500.0,500.0,,1,360,12,0.7081019166666667,0.6819445833333333,0.02615733333333331,0.024999999999999967,9,1,2,0
4,500.0,500.0,,1,380,12,0.7085648333333333,0.6870370833333334,0.021527749999999984,0.024999999999999967,10,0,2,0
4,500.0,500.0,,1,400,12,0.71041675,0.6870370833333334,0.02337966666666666,0.024999999999999967,10,0,2,0
4,500.0,500.0,,2,20,12,0.4666666666666667,0.4666666666666667,0.0,0.0,0,12,0,0
4,500.0,500.0,,2,40,12,0.4761573333333333,0.476852,-0.0006946666666666721,0.0,4,3,5,0
4,500.0,500.0,,2,60,12,0.47824066666666665,0.49212975,-0.013889083333333335,-0.005555499999999991,3,2,7,0
4,500.0,500.0,,2,80,12,0.48356475,0.49328716666666667,-0.009722416666666664,-0.012500000000000011,3,2,7,0
4,500.0,500.0,,2,100,12,0.49560183333333335,0.5023149166666666,-0.006713083333333332,-0.0013885000000000147,5,1,6,0
4,500.0,500.0,,2,120,12,0.5037036666666667,0.50486125,-0.0011575833333333369,-0.001389000000000029,5,1,6,0
4,500.0,500.0,,2,140,12,0.50949075,0.5055556666666666,0.003935083333333325,-0.001389000000000029,5,1,6,0
4,500.0,500.0,,2,160,12,0.5150463333333333,0.5067130833333333,0.008333249999999995,0.020833500000000005,8,0,4,0
4,500.0,500.0,,2,180,12,0.5164351666666667,0.5067130833333333,0.009722083333333334,0.020833500000000005,8,0,4,0
4,500.0,500.0,,2,200,12,0.51875,0.5150464166666666,0.0037035833333333434,0.0055555000000000465,6,0,6,0
