pair,method,file,seed,relays,width,height,iteration,evaluation,best_fitness
15,PSO,2026-09-23_04-22-29.log,67358,2,500.0,500.0,1,30,0.263889
15,PSO,2026-09-23_04-22-29.log,67358,2,500.0,500.0,1,38,0.288889
15,PSO,2026-09-23_04-22-29.log,67358,2,500.0,500.0,4,87,0.3
15,PSO,2026-09-23_04-22-29.log,67358,2,500.0,500.0,8,175,0.308333
15,PSO,2026-09-23_04-22-29.log,67358,2,500.0,500.0,10,204,0.311111
15,PSO,2026-09-23_04-22-29.log,67358,2,500.0,500.0,10,214,0.319444
15,PSO,2026-09-23_04-22-29.log,67358,2,500.0,500.0,16,338,0.330556
15,PSO,2026-09-23_04-22-29.log,67358,2,500.0,500.0,17,342,0.336111
15,Naive,2026-09-23_04-31-45.log,,136,,,0,1,0.233333
15,Naive,2026-09-23_04-31-45.log,,136,,,22,23,0.272222
15,Naive,2026-09-23_04-31-45.log,,136,,,23,24,0.302778
15,Naive,2026-09-23_04-31-45.log,,136,,,50,51,0.330556
15,Naive,2026-09-23_04-31-45.log,,136,,,202,203,0.344444
16,PSO,2026-09-23_04-39-48.log,747263,2,500.0,500.0,0,1,0.191667
16,PSO,2026-09-23_04-39-48.log,747263,2,500.0,500.0,0,2,0.194444
16,PSO,2026-09-23_04-39-48.log,747263,2,500.0,500.0,0,5,0.275
16,PSO,2026-09-23_04-39-48.log,747263,2,500.0,500.0,0,9,0.297222
16,PSO,2026-09-23_04-39-48.log,747263,2,500.0,500.0,3,67,0.302778
16,PSO,2026-09-23_04-39-48.log,747263,2,500.0,500.0,4,93,0.308333
16,PSO,2026-09-23_04-39-48.log,747263,2,500.0,500.0,4,99,0.313889
16,PSO,2026-09-23_04-39-48.log,747263,2,500.0,500.0,4,100,0.341667
16,PSO,2026-09-23_04-39-48.log,747263,2,500.0,500.0,5,104,0.380556
