pair,seed,relays,width,height,nodes,network_config,evaluations,pso_best_pdr,naive_best_pdr,delta_pdr,naive_failed,naive_failed_before_checkpoint,naive_last_logged_iteration
11,38032146,2,500.0,500.0,,1,200,0.472222,0.419444,0.05277799999999999,False,False,249
11,38032146,2,500.0,500.0,,1,220,0.477778,0.419444,0.058334,False,False,249
11,38032146,2,500.0,500.0,,1,240,0.480556,0.419444,0.061112,False,False,249
11,38032146,2,500.0,500.0,,1,260,0.480556,0.45,0.030555999999999972,False,False,249
11,38032146,2,500.0,500.0,,1,280,0.483333,0.45,0.033333,False,False,249
11,38032146,2,500.0,500.0,,1,300,0.486111,0.45,0.036111000000000004,False,False,249
11,38032146,2,500.0,500.0,,1,320,0.486111,0.45,0.036111000000000004,False,False,249
11,38032146,2,500.0,500.0,,1,340,0.486111,0.45,0.036111000000000004,False,False,249
11,38032146,2,500.0,500.0,,1,360,0.486111,0.45,0.036111000000000004,False,False,249
11,38032146,2,500.0,500.0,,1,380,0.486111,0.45,0.036111000000000004,False,False,249
11,38032146,2,500.0,500.0,,1,400,0.486111,0.45,0.036111000000000004,False,False,249
12,74485470,2,500.0,500.0,,1,20,0.422222,0.422222,0.0,False,False,108
12,74485470,2,500.0,500.0,,1,40,0.480556,0.422222,0.058334,False,False,108
12,74485470,2,500.0,500.0,,1,60,0.486111,0.425,0.061111000000000026,False,False,108
12,74485470,2,500.0,500.0,,1,80,0.486111,0.436111,0.04999999999999999,False,False,108
12,74485470,2,500.0,500.0,,1,100,0.491667,0.436111,0.055555999999999994,False,False,108
12,74485470,2,500.0,500.0,,1,120,0.494444,0.488889,0.005554999999999977,False,False,108
12,74485470,2,500.0,500.0,,1,140,0.494444,0.488889,0.005554999999999977,False,False,108
12,74485470,2,500.0,500.0,,1,160,0.497222,0.488889,0.00833299999999998,False,False,108
12,74485470,2,500.0,500.0,,1,180,0.497222,0.488889,0.00833299999999998,False,False,108
12,74485470,2,500.0,500.0,,1,200,0.5,0.488889,0.011110999999999982,False,False,108
12,74485470,2,500.0,500.0,,1,220,0.5,0.488889,0.011110999999999982,False,False,108
12,74485470,2,500.0,500.0,,1,240,0.5,0.488889,0.011110999999999982,False,False,108
12,74485470,2,500.0,500.0,,1,260,0.5,0.488889,0.011110999999999982,False,False,108
12,74485470,2,500.0,500.0,,1,280,0.5,0.488889,0.011110999999999982,False,False,108
12,74485470,2,500.0,500.0,,1,300,0.5,0.488889,0.011110999999999982,False,False,108
12,74485470,2,500.0,500.0,,1,320,0.5,0.488889,0.011110999999999982,False,False,108
12,74485470,2,500.0,500.0,,1,340,0.5,0.488889,0.011110999999999982,False,False,108
12,74485470,2,500.0,500.0,,1,360,0.5,0.488889,0.011110999999999982,False,False,108
12,74485470,2,500.0,500.0,,1,380,0.5,0.488889,0.011110999999999982,False,False,108
12,74485470,2,500.0,500.0,,1,400,0.5,0.488889,0.011110999999999982,False,False,108
13,525339,2,500.0,500.0,,2,20,0.255556,0.255556,0.0,False,False,299
13,525339,2,500.0,500.0,,2,40,0.269444,0.291667,-0.022222999999999993,False,False,299
13,525339,2,500.0,500.0,,2,60,0.283333,0.291667,-0.008334000000000008,False,False,299
13,525339,2,500.0,500.0,,2,80,0.319444,0.291667,0.027776999999999996,False,False,299
13,525339,2,500.0,500.0,,2,100,0.319444,0.291667,0.027776999999999996,False,False,299
13,525339,2,500.0,500.0,,2,120,0.319444,0.291667,0.027776999999999996,False,False,299
13,525339,2,500.0,500.0,,2,140,0.319444,0.291667,0.027776999999999996,False,False,299
13,525339,2,500.0,500.0,,2,160,0.322222,0.291667,0.030555,False,False,299
13,525339,2,500.0,500.0,,2,180,0.322222,0.291667,0.030555,False,False,299
13,525339,2,500.0,500.0,,2,200,0.325,0.291667,0.033333,False,False,299
13,525339,2,500.0,500.0,,2,220,0.325,0.291667,0.033333,False,False,299
13,525339,2,500.0,500.0,,2,240,0.325,0.291667,0.033333,False,False,299
13,525339,2,500.0,500.0,,2,260,0.330556,0.291667,0.03888900000000001,False,False,299
13,525339,2,500.0,500.0,,2,280,0.333333,0.291667,0.04166599999999998,False,False,299
13,525339,2,500.0,500.0,,2,300,0.333333,0.3,0.033333,False,False,299
13,525339,2,500.0,500.0,,2,320,0.333333,0.3,0.033333,False,False,299
13,525339,2,500.0,500.0,,2,340,0.333333,0.3,0.033333,False,False,299
13,525339,2,500.0,500.0,,2,360,0.333333,0.3,0.033333,False,False,299
13,525339,2,500.0,500.0,,2,380,0.333333,0.3,0.033333,False,False,299
13,525339,2,500.0,500.0,,2,400,0.333333,0.3,0.033333,False,False,299
14,864365,2,500.0,500.0,,2,20,0.258333,0.258333,0.0,False,False,195
14,864365,2,500.0,500.0,,2,40,0.275,0.258333,0.016667000000000043,False,False,195
